facility_id,facility_name,brand,model,description,type,use,panel_count,panel_size,np_total_storage_capacity_wh,storage_type,battery_corrosion,battery_dust,inverter_manufacturer,np_inverter_output_va,charge_controller,funding,installer,functional_donation,installation_year,functional_now,failure_year,disfunction_part,disfunction_cause,repair_duty,repair_wait_time,repair_success,maintenance_by,spare_parts,remote_monitoring,functional_but_unused_reason,notes,images
1,Manyamula,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polititian Chisi,Contractor,yes,2014,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,NA
1,Manyamula,Easypower,WD20181806EP,SIAB Power System,"Solar, Battery, Inverter",SIAB pharmacy,24,large,19200,sealed-lead-acid-gel,no,yes,Easypower,10000,yes,"USAID, UKAID",Donor,yes,2018,No,NA,Inverter,NA,DHO/MoH/Gov,never,No,no,no,yes,NA,SIAB still used for storage but suboptimal conditions,"20250806_120952.jpg, 20250806_121908.jpg"
1,Manyamula,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,MoH,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,20250806_120803.jpg
1,Manyamula,B Medical,TCW2043SDD,Solar Vaccine Fridge,Solar,vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,MoH,Donor,yes,2020,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,20250806_120753.jpg
1,Manyamula,Steca,PF166 717190,Solar Vaccine Fridge,Solar,vaccine fridge,5,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2020,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,20250806_120643.jpg
1,Manyamula,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Sonlite Solar Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,NA
2,Chikangawa,Escom,NA,Grid,Grid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MoH,Escom,yes,NA,Yes,NA,grid lines,tree fell on grid lines. Harvesting accident,DHO/MoH/Gov,one week,Yes,Escom,no,no,NA,had two grid voltage regulatiors for the grid in the facility which were unused,"20250806_162505.jpg, 20250806_162705.jpg"
2,Chikangawa,Vestfrost,VLS 154A SDD,Solar Vaccine Fridge,Solar,vaccine fridge,1,large,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2023,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,20250806_162302.jpg
2,Chikangawa,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Sonlite Solar Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,"20250806_173501.jpg, , 20250806_172441.jpg"
3,Msese,Microtek,NA,NA,"Solar, Battery, Inverter",AC device charging,NA,NA,1680,sealed-lead-acid-gel,NA,NA,Microtek solar pcu,935,no,Luke International,"Donor, hired dho personnel",yes,2024,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,no,no,NA,NA,"20250807_135036.jpg, 20250807_135018.jpg, 20250807_135021.jpg"
3,Msese,Sun King,Home 600 Mini Plus 3,NA,"Solar, Battery","lights, DC charging, AC TV",1,medium,140,lithium-ion,NA,NA,NA,NA,NA,Donor,Contractor,partially,2023,Partially,NA,TV cable,NA,DHO/MoH/Gov,never,No,no,no,no,NA,DHO tried to repair TV cable but failed,"20250807_135405.jpg, 20250807_135351.jpg"
3,Msese,Sun King,Home 600,NA,"Solar, Battery","lights, DC device charging",1,medium,140,lithium-ion,NA,NA,NA,NA,NA,Donor,Contractor,yes,2023,Yes,NA,NA,Lightning,DHO/MoH/Gov,NA,Yes,no,no,no,NA,Solar panel got replaced by DHO after lightning in 2022,20250807_135907.jpg
3,Msese,TBEA Sunoasis,XNY-TZJ-200G,NA,"Solar, Battery, Inverter",AC device charging,1,medium,NA,NA,NA,NA,TBEA,200,yes,China Aid,Donor,yes,2018,No,2024,NA,NA,DHO/MoH/Gov,never,No,no,no,no,NA,NA,"20250807_135708.jpg, 20250807_135711.jpg"
3,Msese,We care solar,SC3-100,Solar Suitcase,"Solar, Battery",Maternal Ward Lights and Device/Battery Charging,4,medium,153,LFP,NA,NA,NA,NA,yes,We care solar,Sonlite Solar Contractor,yes,2025,Yes,NA,NA,NA,DHO/MoH/Gov,NA,NA,no,yes,no,NA,wecare solar offers remote tech support and instructional videos. Sonlite solar is the installer,20250807_140200.jpg
3,Msese,Exeltech,NA,NA,"Solar, Battery","lights, AC device charging",1,small,NA,NA,NA,NA,Exeltech XP 250,250,NA,Govt of Japan,Donor,yes,2010,Partially,NA,battery,age,DHO/MoH/Gov,never,No,no,no,no,battery has lost capacity,NA,"20250807_140340.jpg, 20250807_140402.jpg, 20250807_140417.jpg, 20250807_140335.jpg"
3,Msese,B Medical,TCW80SDD,Solar Vaccine Fridge,Solar,vaccine fridge,4,medium,NA,NA,NA,NA,NA,NA,NA,UNICEF,Donor,yes,2023,Yes,NA,NA,Lightning,DHO/MoH/Gov,NA,NA,no,no,yes,NA,NA,"20250807_141112.jpg, 20250807_141115.jpg"
